No.,Time,Source,Destination,Protocol,Length,Info
4200,12.605458,104.198.218.190,10.1.10.11,TLSv1.2,122,Application Data
4217,12.632942,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
4248,12.740961,104.198.218.190,10.1.10.11,TLSv1.2,166,Application Data
4256,12.746362,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
4265,12.78534,104.198.218.190,10.1.10.11,TLSv1.2,123,Application Data
4281,12.804198,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
4293,12.8437,104.198.218.190,10.1.10.11,TLSv1.2,166,Application Data
4308,12.887823,104.198.218.190,10.1.10.11,TLSv1.2,126,Application Data
4316,12.893034,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
4340,12.968979,104.198.218.190,10.1.10.11,TLSv1.2,166,Application Data
4349,12.983646,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
4355,13.013125,104.198.218.190,10.1.10.11,TLSv1.2,314,"Application Data, Application Data, Application Data"
4380,13.064857,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
4411,13.15273,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
4437,13.235325,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
4472,13.3229,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
4475,13.335529,104.198.218.190,10.1.10.11,TLSv1.2,171,Application Data
4493,13.38413,104.198.218.190,10.1.10.11,TLSv1.2,319,"Application Data, Application Data, Application Data"
4508,13.404145,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
4515,13.433189,104.198.218.190,10.1.10.11,TLSv1.2,246,"Application Data, Application Data"
4542,13.49273,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
4574,13.573074,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
4577,13.573502,104.198.218.190,10.1.10.11,TLSv1.2,173,Application Data
4594,13.622468,104.198.218.190,10.1.10.11,TLSv1.2,325,"Application Data, Application Data, Application Data"
4616,13.668214,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
4621,13.690899,104.198.218.190,10.1.10.11,TLSv1.2,180,Application Data
4642,13.734864,104.198.218.190,10.1.10.11,TLSv1.2,125,Application Data
4653,13.742536,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
4660,13.778339,104.198.218.190,10.1.10.11,TLSv1.2,254,"Application Data, Application Data"
4686,13.833461,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
4713,13.913428,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
4748,14.009191,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
4780,14.082704,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
4817,14.172669,10.1.10.11,104.198.218.190,TLSv1.2,983,Application Data
4822,14.183983,104.198.218.190,10.1.10.11,TLSv1.2,180,Application Data
